config,query,run_no,planning_ms,execution_ms,root_node,events_scan_node,plan_rows,actual_rows,est_ratio,actual_rows_per_loop,actual_loops,estimated_total_rows,normalized_est_ratio,parallel,events_parallel,workers_planned,workers_launched,shared_hit,root_shared_hit,shared_read,root_shared_read,io_read_ms,root_io_read_ms,temp_written,root_temp_written
c4_btree_partial,q3a_jsonb_common,1,0.172,1283.303,Aggregate,Seq Scan,1426602,3499377,2.452945530708635,1166459,3,3423844.8,1.0220606377952646,True,True,2,2,398800,99700,705684,176421,1169.216,292.304,0,0
c4_btree_partial,q3a_jsonb_common,2,0.176,1298.14,Aggregate,Seq Scan,1426602,3499377,2.452945530708635,1166459,3,3423844.8,1.0220606377952646,True,True,2,2,399184,99796,705300,176325,1164.704,291.176,0,0
c4_btree_partial,q3a_jsonb_common,3,0.175,1273.912,Aggregate,Seq Scan,1426602,3499377,2.452945530708635,1166459,3,3423844.8,1.0220606377952646,True,True,2,2,399568,99892,704916,176229,1173.524,293.381,0,0
c4_btree_partial,q3a_jsonb_common,4,0.169,1286.309,Aggregate,Seq Scan,1426602,3499377,2.452945530708635,1166459,3,3423844.8,1.0220606377952646,True,True,2,2,399952,99988,704532,176133,1175.212,293.803,0,0
c4_btree_partial,q3a_jsonb_common,5,0.166,1284.682,Aggregate,Seq Scan,1426602,3499377,2.452945530708635,1166459,3,3423844.8,1.0220606377952646,True,True,2,2,400336,100084,704148,176037,1167.936,291.984,0,0
c4_btree_partial,q3b_jsonb_rare,1,0.214,959.133,Aggregate,Seq Scan,414,50097,121.0072463768116,16699,3,993.5999999999999,50.41968599033817,True,True,2,2,401104,100276,703380,175845,1136.068,284.017,0,0
c4_btree_partial,q3b_jsonb_rare,2,0.189,951.371,Aggregate,Seq Scan,414,50097,121.0072463768116,16699,3,993.5999999999999,50.41968599033817,True,True,2,2,401488,100372,702996,175749,1127.884,281.971,0,0
c4_btree_partial,q3b_jsonb_rare,3,0.231,977.658,Aggregate,Seq Scan,414,50097,121.0072463768116,16699,3,993.5999999999999,50.41968599033817,True,True,2,2,401872,100468,702612,175653,1161.772,290.443,0,0
c4_btree_partial,q3b_jsonb_rare,4,0.17,961.86,Aggregate,Seq Scan,414,50097,121.0072463768116,16699,3,993.5999999999999,50.41968599033817,True,True,2,2,402256,100564,702228,175557,1134.44,283.61,0,0
c4_btree_partial,q3b_jsonb_rare,5,0.218,954.494,Aggregate,Seq Scan,414,50097,121.0072463768116,16699,3,993.5999999999999,50.41968599033817,True,True,2,2,402640,100660,701844,175461,1124.676,281.169,0,0
c5_btree_covering,q1_range_filter,1,0.215,99.327,Index Only Scan,Index Only Scan,107700,106271,0.9867316620241411,106271,1,107700,0.9867316620241411,False,False,0,0,10918,10918,0,0,0.0,0.0,0,0
c5_btree_covering,q1_range_filter,2,0.162,100.953,Index Only Scan,Index Only Scan,107700,106271,0.9867316620241411,106271,1,107700,0.9867316620241411,False,False,0,0,10918,10918,0,0,0.0,0.0,0,0
c5_btree_covering,q1_range_filter,3,0.126,108.966,Index Only Scan,Index Only Scan,107700,106271,0.9867316620241411,106271,1,107700,0.9867316620241411,False,False,0,0,10918,10918,0,0,0.0,0.0,0,0
c5_btree_covering,q1_range_filter,4,0.211,100.529,Index Only Scan,Index Only Scan,107700,106271,0.9867316620241411,106271,1,107700,0.9867316620241411,False,False,0,0,10918,10918,0,0,0.0,0.0,0,0
c5_btree_covering,q1_range_filter,5,0.11,95.878,Index Only Scan,Index Only Scan,107700,106271,0.9867316620241411,106271,1,107700,0.9867316620241411,False,False,0,0,10918,10918,0,0,0.0,0.0,0,0
c5_btree_covering,q2_join_aggregate,1,0.435,670.708,Sort,Index Only Scan,1173377,2758035,2.3505105349772495,919345,3,2816104.8,0.979379389573854,True,True,2,2,134774,19081,0,0,0.0,0.0,0,0
c5_btree_covering,q2_join_aggregate,2,0.372,675.171,Sort,Index Only Scan,1173377,2758035,2.3505105349772495,919345,3,2816104.8,0.979379389573854,True,True,2,2,134774,19081,0,0,0.0,0.0,0,0
c5_btree_covering,q2_join_aggregate,3,0.381,667.129,Sort,Index Only Scan,1173377,2758035,2.3505105349772495,919345,3,2816104.8,0.979379389573854,True,True,2,2,134774,19081,0,0,0.0,0.0,0,0
c5_btree_covering,q2_join_aggregate,4,0.349,679.161,Sort,Index Only Scan,1173377,2758035,2.3505105349772495,919345,3,2816104.8,0.979379389573854,True,True,2,2,134774,19081,0,0,0.0,0.0,0,0
c5_btree_covering,q2_join_aggregate,5,0.376,670.176,Sort,Index Only Scan,1173377,2758035,2.3505105349772495,919345,3,2816104.8,0.979379389573854,True,True,2,2,134774,19081,0,0,0.0,0.0,0,0
c5_btree_covering,q3a_jsonb_common,1,0.138,1288.431,Aggregate,Seq Scan,1294846,3499377,2.7025430051141215,1166459,3,3107630.4,1.1260595854642175,True,True,2,2,403920,100980,700564,175141,1165.62,291.405,0,0
c5_btree_covering,q3a_jsonb_common,2,0.17,1288.376,Aggregate,Seq Scan,1294846,3499377,2.7025430051141215,1166459,3,3107630.4,1.1260595854642175,True,True,2,2,404304,101076,700180,175045,1204.264,301.066,0,0
